##### bftga! (ode)  d4lorenz ::: Sat May  2 00:05:17 2015

#####                b               pm               pr                q                r
#####             2.67                5               10      5.329990234             4500
#
# sk  lk               q                r               x1               x2               x3               x4              wr1              wa1              wr2              wa2              wr3              wa3              wr4              wa4              tau  bftype
  65   2      5.374399414      4609.998047               0     -612.9148532      4743.119765      67.27702981      0.624935018      0.999999063      0.624935018      0.999999063      1.000000002      1.000000002    0.03444049567    0.03444049567     0.2168948903  bfnsa 0(D)
  66   2      5.375302734      4611.998047               0      -613.190136      4745.138018      67.28978128     0.6252622654       1.00000299     0.6252622654       1.00000299     0.9999999999     0.9999999999     0.0344684778     0.0344684778     0.2168465164  bfnsa 0(D)
  67   2      5.376212158      4613.998047               0     -613.4648923      4747.154608      67.30245095     0.6255864079      1.000002373     0.6255864079      1.000002373     0.9999999993     0.9999999993    0.03449674666    0.03449674666      0.216798202  bfnsa 0(D)
  68   2      5.377127686      4615.998047               0     -613.7402525      4749.172936      67.31520123     0.6259130888      1.000006689     0.6259130888      1.000006689     0.9999999941     0.9999999941    0.03452471095    0.03452471095     0.2167498898  bfnsa 0(D)
  69   2      5.378037109      4617.998047               0     -614.0139536      4751.186199      67.32770727     0.6262310186     0.9999969897     0.6262310186     0.9999969897      1.000000001      1.000000001    0.03455355423    0.03455355423     0.2167016942  bfnsa 0(D)
  70   2       5.37894043      4619.998047               0      -614.288258      4753.201198      67.34029391     0.6265514867     0.9999922268     0.6265514867     0.9999922268      1.000000003      1.000000003    0.03458209325    0.03458209325     0.2166535006  bfnsa 0(D)
  71   2      5.379849854      4621.998047               0     -614.5643001      4755.221341      67.35312362     0.6268801446      1.000001861     0.6268801446      1.000001861     0.9999999943     0.9999999943    0.03460973477    0.03460973477      0.216605252  bfnsa 0(D)
  72   2      5.380765381      4623.998047               0     -614.8398148      4757.239821      67.36587152     0.6272056987      1.000006952     0.6272056987      1.000006952     0.9999999952     0.9999999952    0.03463766327    0.03463766327     0.2165570627  bfnsa 0(D)
  73   2      5.381674805      4625.998047               0     -615.1136664      4759.253229      67.37837513     0.6275224963     0.9999980456     0.6275224963     0.9999980456     0.9999999975     0.9999999975    0.03466647277    0.03466647277     0.2165089897  bfnsa 0(D)
  74   2      5.382578125      4627.998047               0     -615.3881227      4761.268376      67.39095936     0.6278418376     0.9999940686     0.6278418376     0.9999940686     0.9999999954     0.9999999954    0.03469497728    0.03469497728     0.2164609187  bfnsa 0(D)
  75   2      5.383487549      4629.998047               0     -615.6643207      4763.288672      67.40378672     0.6281693795      1.000004468     0.6281693795      1.000004468     0.9999999948     0.9999999948     0.0347225821     0.0347225821     0.2164127927  bfnsa 0(D)
  76   2      5.384390869      4631.998047               0     -615.9377166      4765.300484      67.41620725      0.628482506     0.9999914267      0.628482506     0.9999914267      1.000000006      1.000000006    0.03475166322    0.03475166322     0.2163648398  bfnsa 0(D)
  77   2      5.385300293      4633.998047               0     -616.2139924      4767.320857      67.42903345     0.6288094934       1.00000221     0.6288094934       1.00000221                1                1    0.03477924988    0.03477924988     0.2163167748  bfnsa 0(D)
  78   2       5.38621582      4635.998047               0     -616.4897388      4769.339563      67.44177781     0.6291333769      1.000008457     0.6291333769      1.000008457      1.000000003      1.000000003    0.03480712438    0.03480712438     0.2162687689  bfnsa 0(D)
  79   2      5.387113037      4637.998047               0     -616.7638162      4771.353189      67.45427778     0.6294484954      1.000000733     0.6294484954      1.000000733     0.9999999985     0.9999999985    0.03483588277    0.03483588277     0.2162208788  bfnsa 0(D)
  80   2      5.388028564      4639.998047               0     -617.0385003      4773.368557      67.46685842     0.6297661658      0.999997926     0.6297661658      0.999997926     0.9999999957     0.9999999957    0.03486433499    0.03486433499     0.2161729906  bfnsa 0(D)
  81   2      5.388925781      4641.998047               0     -617.3137922      4775.385669      67.47951974     0.6300863902       1.00000003     0.6300863902       1.00000003      1.000000004      1.000000004    0.03489248037    0.03489248037     0.2161251044  bfnsa 0(D)
  82   2      5.389841309      4643.998047               0     -617.5885522      4777.401111      67.49209919     0.6304035084     0.9999976118     0.6304035084     0.9999976118      1.000000001      1.000000001    0.03492091511    0.03492091511     0.2160772769  bfnsa 0(D)
  83   2      5.390738525      4645.998047               0     -617.8639206      4779.418297      67.50475933     0.6307231837      1.000000103     0.6307231837      1.000000103     0.9999999996     0.9999999996    0.03494904283    0.03494904283     0.2160294512  bfnsa 0(D)
  84   2      5.391654053      4647.998047               0     -618.1387564      4781.433812       67.5173376     0.6310397522     0.9999980724     0.6310397522     0.9999980724     0.9999999986     0.9999999986    0.03497745997    0.03497745997     0.2159816843  bfnsa 0(D)
  85   2       5.39255127      4649.998047               0     -618.4142014      4783.451074      67.52999656     0.6313588806      1.000000948     0.6313588806      1.000000948     0.9999999962     0.9999999962    0.03500556978    0.03500556978     0.2159339191  bfnsa 0(D)
  86   2      5.393466797      4651.998047               0     -618.6891132      4785.466663      67.54257364     0.6316749022     0.9999993038     0.6316749022     0.9999993038     0.9999999954     0.9999999954    0.03503396929    0.03503396929     0.2158862126  bfnsa 0(D)
  87   2      5.394364014      4653.998047               0     -618.9646348      4787.483998      67.55523144     0.6319934861      1.000002561     0.6319934861      1.000002561     0.9999999987     0.9999999987    0.03506206102    0.03506206102     0.2158385079  bfnsa 0(D)
  88   2      5.395267334      4655.998047               0     -619.2396226      4789.499661      67.56780734     0.6323089634      1.000001303     0.6323089634      1.000001303     0.9999999956     0.9999999956    0.03509044285    0.03509044285     0.2157908616  bfnsa 0(D)
  89   2      5.396176758      4657.998047               0     -619.5152209      4791.517072      67.58046398     0.6326270056      1.000004942     0.6326270056      1.000004942      1.000000001      1.000000001    0.03511851647    0.03511851647     0.2157432171  bfnsa 0(D)
  90   2      5.397080078      4659.998047               0     -619.7891386      4793.529385      67.59287606     0.6329362663     0.9999946553     0.6329362663     0.9999946553      1.000000001      1.000000001     0.0351474793     0.0351474793     0.2156956877  bfnsa 0(D)
  91   2      5.397989502      4661.998047               0     -620.0659596      4795.550294      67.60569418     0.6332594443      1.000008088     0.6332594443      1.000008088      0.999999997      0.999999997    0.03517493609    0.03517493609     0.2156480467  bfnsa 0(D)
  92   2      5.398892822      4663.998047               0     -620.3399521      4797.562679      67.61810507      0.633568163       0.99999819      0.633568163       0.99999819     0.9999999994     0.9999999994    0.03520388164    0.03520388164     0.2156005773  bfnsa 0(D)
  93   2      5.399790039      4665.998047               0     -620.6145551      4799.576812       67.6305967     0.6338794496      0.999993191     0.6338794496      0.999993191     0.9999999994     0.9999999994    0.03523251909    0.03523251909     0.2155531095  bfnsa 0(D)
  94   2      5.400693359      4667.998047               0     -620.8909185      4801.596122      67.64333176     0.6341989864      1.000002486     0.6341989864      1.000002486      0.999999999      0.999999999    0.03526024779    0.03526024779     0.2155055867  bfnsa 0(D)
  95   2      5.401602783      4669.998047               0     -621.1667464      4803.613756      67.65598491     0.6345154173      1.000007267     0.6345154173      1.000007267      1.000000003      1.000000003    0.03528826709    0.03528826709     0.2154581222  bfnsa 0(D)
  96   2      5.402506104      4671.998047               0     -621.4408878      4805.626284      67.66839343     0.6348230588     0.9999981457     0.6348230588     0.9999981457      1.000000004      1.000000004    0.03531717829    0.03531717829     0.2154107724  bfnsa 0(D)
  97   2       5.40340332      4673.998047               0     -621.7156412      4807.640563      67.68088271     0.6351332732     0.9999939167     0.6351332732     0.9999939167      1.000000004      1.000000004    0.03534578064    0.03534578064     0.2153634241  bfnsa 0(D)
  98   2      5.404306641      4675.998047               0      -621.992159      4809.660023      67.69361548     0.6354517482      1.000003964     0.6354517482      1.000003964      1.000000001      1.000000001    0.03537347231    0.03537347231     0.2153160209  bfnsa 0(D)
  99   2      5.405203857      4677.998047               0     -622.2658359      4811.670943      67.70594086     0.6357557447     0.9999907315     0.6357557447     0.9999907315     0.9999999995     0.9999999995    0.03540265857    0.03540265857     0.2152687886  bfnsa 0(D)
 100   2      5.406107178      4679.998047               0     -622.5424306      4813.690479      67.71867249     0.6360736917      1.000001154     0.6360736917      1.000001154                1                1    0.03543033169    0.03543033169     0.2152214449  bfnsa 0(D)
 101   2      5.407016602      4681.998047               0     -622.8184879      4815.708336      67.73132219     0.6363885331      1.000007071     0.6363885331      1.000007071     0.9999999987     0.9999999987    0.03545829637    0.03545829637     0.2151741592  bfnsa 0(D)
 102   2      5.407919922      4683.998047               0     -623.0928528       4817.72108      67.74372718     0.6366945768     0.9999991066     0.6366945768     0.9999991066      1.000000002      1.000000002    0.03548715552    0.03548715552     0.2151269878  bfnsa 0(D)
 103   2      5.408817139      4685.998047               0     -623.3678317      4819.735576      67.75621295     0.6370032014     0.9999960264     0.6370032014     0.9999960264     0.9999999976     0.9999999976    0.03551570489    0.03551570489     0.2150798178  bfnsa 0(D)
 104   2      5.409720459      4687.998047               0     -623.6445811      4821.755263      67.76894233     0.6373201013      1.000007192     0.6373201013      1.000007192      1.000000005      1.000000005     0.0355433404     0.0355433404     0.2150325929  bfnsa 0(D)
 105   2      5.410617676      4689.998047               0     -623.9184797      4823.766395      67.78126415     0.6376225078     0.9999951221     0.6376225078     0.9999951221     0.9999999996     0.9999999996    0.03557247532    0.03557247532     0.2149855384  bfnsa 0(D)
 106   2      5.411520996      4691.998047               0     -624.1953062      4825.786157       67.7939924     0.6379388876      1.000006663     0.6379388876      1.000006663     0.9999999974     0.9999999974    0.03560009227    0.03560009227     0.2149383727  bfnsa 0(D)
 107   2      5.412418213      4693.998047               0     -624.4692785       4827.79736      67.80631305     0.6382407685      0.999994977     0.6382407685      0.999994977     0.9999999966     0.9999999966    0.03562920993    0.03562920993     0.2148913773  bfnsa 0(D)
 108   2      5.413321533      4695.998047               0     -624.7461821      4829.817198      67.81904017       0.63855663      1.000006887       0.63855663      1.000006887      1.000000003      1.000000003    0.03565680797    0.03565680797     0.2148442706  bfnsa 0(D)
 109   2       5.41421875      4697.998047               0     -625.0202283      4831.828471      67.83135965     0.6388579879     0.9999955857     0.6388579879     0.9999955857      1.000000003      1.000000003    0.03568590835    0.03568590835      0.214797334  bfnsa 0(D)
 110   2       5.41512207      4699.998047               0     -625.2972091      4833.848384      67.84408565     0.6391733344      1.000007869     0.6391733344      1.000007869     0.9999999958     0.9999999958    0.03571348774    0.03571348774     0.2147502863  bfnsa 0(D)
 111   2      5.416019287      4701.998047               0     -625.5713291      4835.859728      67.85640395     0.6394741718     0.9999969511     0.6394741718     0.9999969511     0.9999999959     0.9999999959    0.03574257079    0.03574257079     0.2147034085  bfnsa 0(D)
 112   2        5.4169104      4703.998047               0     -625.8460657      4837.872828       67.8688031     0.6397775996     0.9999909027     0.6397775996     0.9999909027      0.999999997      0.999999997    0.03577134265    0.03577134265     0.2146565319  bfnsa 0(D)
 113   2      5.417819824      4705.998047               0     -626.1225811      4839.891131      67.88144598      0.640089324     0.9999990654      0.640089324     0.9999990654                1                1    0.03579919671    0.03579919671     0.2146096004  bfnsa 0(D)
 114   2      5.418710937      4707.998047               0     -626.3985543      4841.907749      67.89400687     0.6403979416      1.000002742     0.6403979416      1.000002742     0.9999999932     0.9999999932    0.03582734455    0.03582734455     0.2145627263  bfnsa 0(D)
 115   2      5.419608154      4709.998047               0     -626.6739843      4843.922681      67.90648574     0.6407034502       1.00000193     0.6407034502       1.00000193                1                1    0.03585578621    0.03585578621     0.2145159095  bfnsa 0(D)
 116   2      5.420511475      4711.998047               0     -626.9500336      4845.939373      67.91904549     0.6410115568      1.000005977     0.6410115568      1.000005977                1                1    0.03588391548    0.03588391548     0.2144690939  bfnsa 0(D)
 117   2      5.421408691      4713.998047               0     -627.2243748      4847.950928      67.93136031     0.6413108459     0.9999962047     0.6413108459     0.9999962047      1.000000006      1.000000006     0.0359129463     0.0359129463     0.2144223916  bfnsa 0(D)
 118   2      5.422299805      4715.998047               0     -627.4993346      4849.964243        67.943756     0.6416127333     0.9999912948     0.6416127333     0.9999912948     0.9999999998     0.9999999998     0.0359416651     0.0359416651     0.2143756904  bfnsa 0(D)
 119   2      5.423197021      4717.998047               0     -627.7760795      4851.982769      67.95639552     0.6419229316      1.000000568     0.6419229316      1.000000568      1.000000002      1.000000002    0.03596946308    0.03596946308     0.2143289344  bfnsa 0(D)
 120   2      5.424100342      4719.998047               0     -628.0522802      4853.999608      67.96895303     0.6422300228       1.00000536     0.6422300228       1.00000536     0.9999999975     0.9999999975     0.0359975556     0.0359975556     0.2142822355  bfnsa 0(D)
 121   2      5.424997559      4721.998047               0     -628.3267689      4856.011305      67.98126553     0.6425282919     0.9999963491     0.6425282919     0.9999963491     0.9999999982     0.9999999982    0.03602655149    0.03602655149     0.2142356495  bfnsa 0(D)
 122   2      5.425888672      4723.998047               0     -628.6018776      4858.024762      67.99365894     0.6428291635     0.9999921907     0.6428291635     0.9999921907     0.9999999988     0.9999999988    0.03605523445    0.03605523445     0.2141890647  bfnsa 0(D)
 123   2      5.426785889      4725.998047               0     -628.8787754      4860.043438      68.00629624     0.6431383559        1.0000022     0.6431383559        1.0000022     0.9999999973     0.9999999973    0.03608299482    0.03608299482      0.214142425  bfnsa 0(D)
 124   2      5.427689209      4727.998047               0     -629.1551278      4862.060423      68.01885151     0.6434444409      1.000007732     0.6434444409      1.000007732     0.9999999976     0.9999999976    0.03611105015    0.03611105015     0.2140958422  bfnsa 0(D)
