##### bfnsn! (ode)  BZlr ::: Sun Nov  3 12:16:58 2019

#####              eps                f                q
#####              0.5     0.7212572531           0.0008
#
# sk  lk             eps                f               x0               x1              wr0              wa0              wr1              wa1              tau  bftype
  45   8     0.4965000977     0.7192512038     -8.05637163                0     0.9999985008     0.9999985008      1.000445203      1.000445203    0.02773115408  bftga 0(D)
  46   8     0.4964000977     0.7191939323    -8.056261767                0     0.9999994065     0.9999994065      1.000698945      1.000698945    0.02773372937  bftga 0(D)
  47   8     0.4963000977     0.7191366633    -8.056164111                0     0.9993682438     0.9993682438       1.00000017       1.00000017    0.02773611289  bftga 0(D)
  48   8     0.4962000977     0.7190793968    -8.056054248                0     0.9999982464     0.9999982464      1.000402113      1.000402113    0.02773878539  bftga 0(D)
  49   8     0.4961000977     0.7190221329    -8.055944384                0     0.9999987405     0.9999987405      1.000638643      1.000638643    0.02774136226  bftga 0(D)
  50   8     0.4960000977     0.7189648715    -8.055846728                0     0.9992792405     0.9992792405       1.00000067       1.00000067    0.02774374615  bftga 0(D)
  51   8     0.4959000977     0.7189076127    -8.055736865                0     0.9999993822     0.9999993822      1.000299558      1.000299558    0.02774642083  bftga 0(D)
  52   8     0.4958000977     0.7188503564    -8.055627001                0     0.9999989391     0.9999989391      1.000519111      1.000519111    0.02774899927  bftga 0(D)
  53   8     0.4957000977     0.7187931026    -8.055517138                0     0.9999990116     0.9999990116      1.000732677      1.000732677    0.02775157828  bftga 0(D)
  54   8     0.4956000977     0.7187358514    -8.055419482                0     0.9993364767     0.9993364767      1.000000961      1.000000961    0.02775396268  bftga 0(D)
  55   8     0.4955000977     0.7186786027    -8.055309619                0     0.9999985242     0.9999985242      1.000340928      1.000340928    0.02775664028  bftga 0(D)
  56   8     0.4954000977     0.7186213566    -8.055199755                0      0.999998599      0.999998599      1.000536188      1.000536188    0.02775922083  bftga 0(D)
  57   8     0.4953000977      0.718564113    -8.055089892                0     0.9999993975     0.9999993975      1.000725125      1.000725125    0.02776180194  bftga 0(D)
  58   8     0.4952000977      0.718506872    -8.054992236                0     0.9992920765     0.9992920765       1.00000081       1.00000081    0.02776418676  bftga 0(D)
  59   8     0.4951000977     0.7184496335    -8.054882373                0     0.9999985019     0.9999985019      1.000278908      1.000278908    0.02776686726  bftga 0(D)
  60   8     0.4950000977     0.7183923975    -8.054772509                0     0.9999977484     0.9999977484      1.000450701      1.000450701    0.02776944986  bftga 0(D)
  61   8     0.4949000977     0.7183351641    -8.054662646                0     0.9999992686     0.9999992686      1.000614491      1.000614491    0.02777203302  bftga 0(D)
  62   9     0.4948000977     0.7182779332    -8.054555834                0     0.9999920647     0.9999920647      1.000373943      1.000373943    0.02777456712  bftga 0(D)
  63   8     0.4947000977     0.7182207049    -8.054445971                0      0.999998773      0.999998773      1.000724191      1.000724191    0.02777717613  bftga 0(D)
  64   9     0.4946000977     0.7181634791    -8.054345263                0      0.999635757      0.999635757      1.000007687      1.000007687    0.02777961139  bftga 0(D)
  65   8     0.4945000977     0.7181062558      -8.0542354                0     0.9999991885     0.9999991885      1.000398054      1.000398054     0.0277822713  bftga 0(D)
  66   8     0.4944000977     0.7180490351    -8.054125537                0       0.99999895       0.99999895       1.00053276       1.00053276    0.02778485699  bftga 0(D)
  67   8     0.4943000977      0.717991817    -8.054015673                0     0.9999982795     0.9999982795      1.000661979      1.000661979    0.02778744322  bftga 0(D)
  68   9     0.4942000977     0.7179346014    -8.053908862                0     0.9999932076     0.9999932076      1.000377212      1.000377212    0.02778997974  bftga 0(D)
  69   8     0.4941000977     0.7178773883    -8.053798998                0       1.00000012       1.00000012      1.000692653      1.000692653     0.0277925921  bftga 0(D)
  70   9     0.4940000977     0.7178201778    -8.053692187                0     0.9999938276     0.9999938276      1.000394942      1.000394942    0.02779512942  bftga 0(D)
  71   8     0.4939000977     0.7177629698    -8.053582324                0     0.9999992609     0.9999992609      1.000700219      1.000700219    0.02779774289  bftga 0(D)
  72   9     0.4938000977     0.7177057643    -8.053475512                0     0.9999921809     0.9999921809      1.000388987      1.000388987    0.02780028099  bftga 0(D)
  73   8     0.4937000977     0.7176485614    -8.053365649                0     0.9999996834     0.9999996834      1.000680415      1.000680415    0.02780289556  bftga 0(D)
  74   9     0.4936000977     0.7175913611    -8.053258837                0     0.9999923588     0.9999923588       1.00035498       1.00035498    0.02780543443  bftga 0(D)
  75   8     0.4935000977     0.7175341633    -8.053148974                0     0.9999994572     0.9999994572      1.000634903      1.000634903    0.02780805008  bftga 0(D)
  76   8     0.4934000977      0.717476968    -8.053039111                0     0.9999995192     0.9999995192      1.000706862      1.000706862    0.02781064079  bftga 0(D)
  77   9     0.4933000977     0.7174197753    -8.052932299                0     0.9999919246     0.9999919246       1.00035997       1.00035997    0.02781318082  bftga 0(D)
  78   8     0.4932000977     0.7173625851    -8.052822436                0     0.9999998022     0.9999998022      1.000621224      1.000621224     0.0278157981  bftga 0(D)
  79   8     0.4931000977     0.7173053975    -8.052712573                0      0.999998797      0.999998797      1.000674948      1.000674948    0.02781839027  bftga 0(D)
  80   8     0.4930000977     0.7172482124    -8.052602709                0      0.999999166      0.999999166      1.000720942      1.000720942    0.02782098294  bftga 0(D)
  81   8     0.4929000977     0.7171910298    -8.052492846                0     0.9999993705     0.9999993705      1.000760711      1.000760711     0.0278235761  bftga 0(D)
  82   9     0.4928000977     0.7171338498    -8.052386035                0     0.9999906638     0.9999906638      1.000378289      1.000378289    0.02782611802  bftga 0(D)
  83   8     0.4927000977     0.7170766724    -8.052276171                0     0.9999986583     0.9999986583      1.000609247      1.000609247    0.02782873798  bftga 0(D)
  84   8     0.4926000977     0.7170194975    -8.052166308                0     0.9999987207     0.9999987207      1.000629339      1.000629339    0.02783133255  bftga 0(D)
  85   8     0.4925000977     0.7169623251    -8.052056445                0      0.999999345      0.999999345      1.000642342      1.000642342     0.0278339276  bftga 0(D)
  86   8     0.4924000977     0.7169051553    -8.051946581                0     0.9999996347     0.9999996347      1.000649119      1.000649119    0.02783652312  bftga 0(D)
  87   8     0.4923000977      0.716847988    -8.051836718                0     0.9999993197     0.9999993197      1.000649905      1.000649905    0.02783911912  bftga 0(D)
  88   8     0.4922000977     0.7167908233    -8.051726855                0     0.9999991513     0.9999991513      1.000643915      1.000643915    0.02784171559  bftga 0(D)
  89   8     0.4921000977     0.7167336611    -8.051616992                0     0.9999997949     0.9999997949      1.000630446      1.000630446    0.02784431252  bftga 0(D)
  90   8     0.4920000977     0.7166765015    -8.051507128                0     0.9999984642     0.9999984642      1.000612253      1.000612253    0.02784690992  bftga 0(D)
  91   8     0.4919000977     0.7166193444    -8.051397265                0     0.9999985366     0.9999985366      1.000585919      1.000585919    0.02784950778  bftga 0(D)
  92   8     0.4918000977     0.7165621898    -8.051287402                0     0.9999992761     0.9999992761      1.000552147      1.000552147    0.02785210609  bftga 0(D)
  93   8     0.4917000977     0.7165050378    -8.051177539                0     0.9999986783     0.9999986783      1.000512907      1.000512907    0.02785470485  bftga 0(D)
  94   8     0.4916000977     0.7164478883    -8.051067675                0     0.9999995124     0.9999995124      1.000465392      1.000465392    0.02785730407  bftga 0(D)
  95   8     0.4915000977     0.7163907414    -8.050957812                0     0.9999990182     0.9999990182      1.000412329      1.000412329    0.02785990372  bftga 0(D)
  96   8     0.4914000977     0.7163335971    -8.050847949                0     0.9999972031     0.9999972031      1.000353674      1.000353674    0.02786250382  bftga 0(D)
  97   8     0.4913000977     0.7162764553    -8.050738085                0     0.9999988499     0.9999988499      1.000284605      1.000284605    0.02786510436  bftga 0(D)
  98   8     0.4912000977      0.716219316    -8.050628222                0     0.9999967558     0.9999967558      1.000212295      1.000212295    0.02786770533  bftga 0(D)
  99   8     0.4911000977     0.7161621793    -8.050518359                0     0.9999962928     0.9999962928      1.000131331      1.000131331    0.02787030673  bftga 0(D)
 100   9     0.4910000977     0.7161050451    -8.050405444                0     0.9995905056     0.9995905056      1.000007659      1.000007659    0.02787285479  bftga 0(D)
 101   8     0.4909000977     0.7160479134    -8.050295581                0     0.9999943316     0.9999943316      1.000170227      1.000170227    0.02787553774  bftga 0(D)
 102   9     0.4908000977     0.7159907844    -8.050182665                0     0.9996107484     0.9996107484      1.000008722      1.000008722    0.02787808647  bftga 0(D)
 103   8     0.4907000977     0.7159336578    -8.050072802                0     0.9999941254     0.9999941254      1.000180704      1.000180704    0.02788077066  bftga 0(D)
 104   9     0.4906000977     0.7158765338    -8.049959887                0     0.9996046325     0.9996046325      1.000009329      1.000009329    0.02788332005  bftga 0(D)
 105   8     0.4905000977     0.7158194124    -8.049850024                0     0.9999992076     0.9999992076      1.000158942      1.000158942    0.02788600546  bftga 0(D)
 106   9     0.4904000977     0.7157622935    -8.049737109                0     0.9995735554     0.9995735554      1.000007797      1.000007797    0.02788855548  bftga 0(D)
 107   8     0.4903000977     0.7157051771    -8.049627246                0     0.9999940414     0.9999940414      1.000120197      1.000120197     0.0278912421  bftga 0(D)
 108   9     0.4902000977     0.7156480633    -8.049508227                0     0.9999923087     0.9999923087      1.000426188      1.000426188    0.02789390211  bftga 0(D)
 109   8     0.4901000977     0.7155909521    -8.049398364                0     0.9999979445     0.9999979445      1.000494411      1.000494411    0.02789653536  bftga 0(D)
 110   8     0.4900000977     0.7155338434      -8.0492885                0     0.9999979319     0.9999979319      1.000336611      1.000336611    0.02789914166  bftga 0(D)
 111   8     0.4899000977     0.7154767372    -8.049178637                0     0.9999960362     0.9999960362      1.000173235      1.000173235    0.02790174835  bftga 0(D)
 112   9     0.4898000977     0.7154196336    -8.049059619                0     0.9999979292     0.9999979292      1.000450984      1.000450984    0.02790441055  bftga 0(D)
